Ripartizione_geografica;Ordinatore;Significatività_18vs19;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Anno_new;VALORI;LIVELLO_SUFF
Sud e Isole;22,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;34,75;Non sufficienza
Sud e Isole;22,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;34,76;Non sufficienza
Nord Ovest;1,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;34,78;Non sufficienza
Nord Est;6,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;35,23;Non sufficienza
Nord Ovest;1,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;35,52;Non sufficienza
Sud;17,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;35,72;Non sufficienza
Sud;17,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;35,78;Non sufficienza
Centro;12,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;35,90;Non sufficienza
Nord Est;6,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;35,92;Non sufficienza
Sud e Isole;22,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;36,08;Sufficienza
Nord Ovest;1,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;36,32;Non sufficienza
Sud e Isole;22,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;36,35;Sufficienza
Nord Ovest;1,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;36,39;Non sufficienza
Sud e Isole;22,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;36,51;Non sufficienza
Centro;12,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;36,85;Non sufficienza
Nord Ovest;1,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;36,87;Non sufficienza
Sud;17,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;37,26;Non sufficienza
Sud e Isole;22,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;37,58;Non sufficienza
Centro;12,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;37,65;Non sufficienza
Sud e Isole;22,00;;Not Statistically significant;;;;;;Grado 5;Matematica;2018-2019;37,74;Non sufficienza
Sud e Isole;22,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;37,79;Sufficienza
Nord Est;6,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;38,02;Non sufficienza
Sud e Isole;22,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;38,16;Non sufficienza
Centro;12,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;38,53;Non sufficienza
Sud;17,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;40,06;Non sufficienza
Sud e Isole;22,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;40,22;Non sufficienza
Sud e Isole;22,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;40,34;Sufficienza
Sud e Isole;22,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;40,96;Non sufficienza
Sud;17,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;42,34;Sufficienza
Centro;12,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;42,80;Non sufficienza
Sud e Isole;22,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;42,81;Sufficienza
Sud;17,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Italiano;2021-2022;42,99;Non sufficienza
Sud e Isole;22,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;43,05;Non sufficienza
Sud;17,00;;;;;Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;43,13;Sufficienza
Sud e Isole;22,00;;;;Not Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;43,15;Non sufficienza
Sud;17,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;43,27;Non sufficienza
Sud;17,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;44,16;Sufficienza
Sud e Isole;22,00;;;;Not Statistically significant;;;;Grado 10;Italiano;2018-2019;44,42;Non sufficienza
Centro;12,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;44,76;Non sufficienza
Sud;17,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;44,99;Non sufficienza
Sud;17,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;45,32;Sufficienza
Sud e Isole;22,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;45,43;Non sufficienza
Sud;17,00;;;;;;Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;45,56;Non sufficienza
Centro;12,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;45,68;Non sufficienza
Sud e Isole;22,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;45,90;Non sufficienza
Centro;12,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;46,51;Non sufficienza
Sud e Isole;22,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;46,93;Non sufficienza
Sud e Isole;22,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;47,35;Non sufficienza
Sud e Isole;22,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;47,48;Non sufficienza
Sud;17,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;49,14;Sufficienza
Sud;17,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;50,86;Non sufficienza
Sud e Isole;22,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;52,52;Sufficienza
Sud e Isole;22,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;52,65;Sufficienza
Sud e Isole;22,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;53,07;Sufficienza
Centro;12,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;53,49;Sufficienza
Sud e Isole;22,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;54,10;Sufficienza
Centro;12,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;54,32;Sufficienza
Sud;17,00;;;;;;Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;54,44;Sufficienza
Sud e Isole;22,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;54,57;Sufficienza
Sud;17,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;54,68;Non sufficienza
Sud;17,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;55,01;Sufficienza
Centro;12,00;;;;;;;Not Statistically significant;Grado 10;Matematica;2024-2025;55,24;Sufficienza
Sud e Isole;22,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;55,58;Sufficienza
Sud;17,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Matematica;2023-2024;55,84;Non sufficienza
Sud;17,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;56,73;Sufficienza
Sud e Isole;22,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;56,85;Sufficienza
Sud;17,00;;;;;Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;56,87;Non sufficienza
Sud e Isole;22,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;56,95;Sufficienza
Sud;17,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;57,01;Sufficienza
Sud e Isole;22,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;57,19;Non sufficienza
Centro;12,00;;;;;Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;57,20;Sufficienza
Sud;17,00;;;;Statistically significant;Statistically significant;;;Grado 10;Matematica;2021-2022;57,66;Non sufficienza
Sud e Isole;22,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;59,04;Sufficienza
Sud e Isole;22,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;59,66;Non sufficienza
Sud e Isole;22,00;;;;;;;Statistically significant;Grado 2;Matematica;2024-2025;59,78;Sufficienza
Sud;17,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;59,94;Sufficienza
Centro;12,00;;;;;;Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;61,47;Sufficienza
Sud e Isole;22,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;61,84;Sufficienza
Nord Est;6,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;61,98;Sufficienza
Sud e Isole;22,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;62,21;Non sufficienza
Sud e Isole;22,00;;Not Statistically significant;;;;;;Grado 5;Matematica;2018-2019;62,26;Sufficienza
Centro;12,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;62,35;Sufficienza
Sud e Isole;22,00;;;;;;Statistically significant;Statistically significant;Grado 2;Matematica;2023-2024;62,42;Sufficienza
Sud;17,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;62,74;Sufficienza
Nord Ovest;1,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;63,13;Sufficienza
Centro;12,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;63,15;Sufficienza
Sud e Isole;22,00;;;;;;Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;63,49;Sufficienza
Nord Ovest;1,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;63,61;Sufficienza
Sud e Isole;22,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;63,65;Non sufficienza
Nord Ovest;1,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;63,68;Sufficienza
Sud e Isole;22,00;;;;;;;Statistically significant;Grado 10;Matematica;2024-2025;63,92;Non sufficienza
Nord Est;6,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;64,08;Sufficienza
Centro;12,00;;;;;Statistically significant;Statistically significant;;Grado 10;Italiano;2022-2023;64,10;Sufficienza
Sud;17,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;64,22;Sufficienza
Sud;17,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;64,28;Sufficienza
Nord Ovest;1,00;;;;;;Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;64,48;Sufficienza
Nord Est;6,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Matematica;2022-2023;64,77;Sufficienza
Nord Ovest;1,00;;;;;Not Statistically significant;Statistically significant;;Grado 10;Matematica;2022-2023;65,22;Sufficienza
Sud e Isole;22,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;65,24;Sufficienza
Sud e Isole;22,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;65,25;Sufficienza
Sud e Isole;22,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;65,52;Sufficienza
Sud e Isole;22,00;;;;;;;Statistically significant;Grado 2;Italiano;2024-2025;65,65;Sufficienza
Centro;12,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;65,81;Sufficienza
Nord Ovest;1,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;65,85;Sufficienza
Sud;17,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;65,85;Sufficienza
Nord Est;6,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Matematica;2022-2023;65,95;Sufficienza
Nord Est;6,00;;;;;;Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;65,98;Sufficienza
Centro;12,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;66,11;Sufficienza
Nord Est;6,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;66,39;Sufficienza
Nord Ovest;1,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;66,50;Sufficienza
Nord Est;6,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;66,51;Sufficienza
Nord Ovest;1,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;66,87;Sufficienza
Nord Est;6,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;67,00;Sufficienza
Nord Ovest;1,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;67,03;Sufficienza
Nord Est;6,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;67,14;Sufficienza
Nord Est;6,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;67,17;Sufficienza
Sud;17,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;67,28;Sufficienza
Nord Ovest;1,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;67,30;Sufficienza
Nord Est;6,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;67,35;Sufficienza
Nord Est;6,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;67,40;Sufficienza
Centro;12,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;67,42;Sufficienza
Sud e Isole;22,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;67,42;Sufficienza
Nord Ovest;1,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;67,56;Sufficienza
Sud;17,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;67,76;Sufficienza
Nord Ovest;1,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;68,00;Sufficienza
Sud e Isole;22,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;68,15;Sufficienza
Nord Ovest;1,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;68,26;Sufficienza
Nord Est;6,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;68,35;Sufficienza
Nord Ovest;1,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;68,35;Sufficienza
Sud e Isole;22,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;68,51;Sufficienza
Sud e Isole;22,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;68,61;Raggiungono il traguardo
Nord Est;6,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;68,64;Sufficienza
Centro;12,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;68,65;Sufficienza
Sud;17,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;68,86;Sufficienza
Sud;17,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;69,07;Sufficienza
Sud e Isole;22,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;69,09;Sufficienza
Sud;17,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;69,46;Sufficienza
Sud e Isole;22,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;69,47;Sufficienza
Sud e Isole;22,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;69,47;Sufficienza
Sud;17,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;69,54;Sufficienza
Nord Ovest;1,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;69,56;Sufficienza
Centro;12,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;69,66;Sufficienza
Sud;17,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;69,73;Sufficienza
Sud;17,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;69,82;Sufficienza
Nord Ovest;1,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;69,95;Sufficienza
Centro;12,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;69,96;Sufficienza
Sud;17,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;69,97;Sufficienza
Nord Est;6,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;70,01;Sufficienza
